VertX,VertY,VertZ,Latitude,Longtitude,Elevation
0,0,0,43.451,-80.4952,330.0010375976562
0,0,0,43.45101,-80.4952,330.0644226074219
0,0,0,43.451,-80.49521,329.9836120605469
0,0,0,43.45101,-80.49521,330.0542602539062
0,0,0,43.451,-80.49522,329.9661865234375
0,0,0,43.45101,-80.49522,330.0440979003906
0,0,0,43.451,-80.49523,329.94873046875
0,0,0,43.45101,-80.49523,330.033935546875
0,0,0,43.451,-80.49524,329.9303588867188
0,0,0,43.45101,-80.49524,330.0219421386719
0,0,0,43.451,-80.49525,329.9074401855469
0,0,0,43.45101,-80.49525,330.0008239746094
0,0,0,43.451,-80.49526,329.8844909667969
0,0,0,43.45101,-80.49526,329.9797058105469
0,0,0,43.451,-80.49527,329.861572265625
0,0,0,43.45101,-80.49527,329.9585571289062
0,0,0,43.451,-80.49528,329.838623046875
0,0,0,43.45101,-80.49528,329.9374389648438
0,0,0,43.451,-80.49529,329.8134155273438
0,0,0,43.45101,-80.49529,329.9116516113281
0,0,0,43.451,-80.4953,329.7878723144531
0,0,0,43.45101,-80.4953,329.8851928710938
0,0,0,43.451,-80.49531,329.7623291015625
0,0,0,43.45101,-80.49531,329.8587646484375
0,0,0,43.451,-80.49532,329.7367858886719
0,0,0,43.45101,-80.49532,329.8323059082031
0,0,0,43.451,-80.49533,329.7215270996094
0,0,0,43.45101,-80.49533,329.8158264160156
0,0,0,43.451,-80.49534,329.7135314941406
0,0,0,43.45101,-80.49534,329.8063659667969
0,0,0,43.451,-80.49535,329.7055358886719
0,0,0,43.45101,-80.49535,329.7969055175781
0,0,0,43.451,-80.49536,329.6975402832031
0,0,0,43.45101,-80.49536,329.7874450683594
0,0,0,43.451,-80.49537,329.698486328125
0,0,0,43.45101,-80.49537,329.7865905761719
0,0,0,43.451,-80.49538,329.7207641601562
0,0,0,43.45101,-80.49538,329.8062744140625
0,0,0,43.451,-80.49539,329.7430419921875
0,0,0,43.45101,-80.49539,329.825927734375
0,0,0,43.451,-80.4954,329.7653198242188
0,0,0,43.45101,-80.4954,329.8456115722656
0,0,0,43.451,-80.49541,329.7875671386719
0,0,0,43.45101,-80.49541,329.8652648925781
0,0,0,43.451,-80.49542,329.8042907714844
0,0,0,43.45101,-80.49542,329.8794860839844
0,0,0,43.451,-80.49543,329.821044921875
0,0,0,43.45101,-80.49543,329.8937377929688
0,0,0,43.451,-80.49544,329.8377685546875
0,0,0,43.45101,-80.49544,329.9079895019531
0,0,0,43.451,-80.49545,329.8545227050781
0,0,0,43.45101,-80.49545,329.9222106933594
0,0,0,43.451,-80.49546,329.8132934570312
0,0,0,43.45101,-80.49546,329.8815612792969
0,0,0,43.451,-80.49547,329.7486572265625
0,0,0,43.45101,-80.49547,329.8187255859375
0,0,0,43.451,-80.49548,329.6839904785156
0,0,0,43.45101,-80.49548,329.7558898925781
0,0,0,43.451,-80.49549,329.6193237304688
0,0,0,43.45101,-80.49549,329.6930236816406
0,0,0,43.451,-80.4955,329.5546569824219
0,0,0,43.45101,-80.4955,329.6301574707031
0,0,0,43.451,-80.49551,329.4898986816406
0,0,0,43.45101,-80.49551,329.5672302246094
0,0,0,43.451,-80.49552,329.4251708984375
